iter	MultiClass
0	1.578881856
1	1.552756229
2	1.532258439
3	1.512519554
4	1.492908787
5	1.47630504
6	1.460049332
7	1.445691811
8	1.434241982
9	1.421759922
10	1.409443813
11	1.401443623
12	1.391652905
13	1.38265507
14	1.373454104
15	1.36527405
16	1.357511882
17	1.350888948
18	1.343634048
19	1.337452914
20	1.331039384
21	1.32423625
22	1.319509742
23	1.312431082
24	1.306796801
25	1.301578009
26	1.296868536
27	1.291771286
28	1.287139197
29	1.283093176
30	1.278364343
31	1.275214271
32	1.270796897
33	1.267116575
34	1.262579801
35	1.258599507
36	1.255257041
37	1.251880921
38	1.248755039
39	1.245816147
40	1.242020124
41	1.239685623
42	1.236280832
43	1.23292142
44	1.229696105
45	1.226661908
46	1.223755255
47	1.220690506
48	1.218231346
49	1.215370964
50	1.212626931
51	1.209708179
52	1.207602676
53	1.204613232
54	1.202015507
55	1.199293711
56	1.19627429
57	1.193528292
58	1.191061803
59	1.188860063
60	1.187094336
61	1.184254257
62	1.181751057
63	1.179544141
64	1.177745209
65	1.175482739
66	1.173303352
67	1.171621215
68	1.169136381
69	1.167686264
70	1.165976716
71	1.163751541
72	1.161408364
73	1.159315971
74	1.157014096
75	1.155021552
76	1.152870471
77	1.150895593
78	1.148979977
79	1.14680499
80	1.144592591
81	1.143278623
82	1.14146685
83	1.139687658
84	1.137725882
85	1.136125193
86	1.134291731
87	1.132394604
88	1.130640166
89	1.128282437
90	1.126305937
91	1.124341888
92	1.122521135
93	1.120619623
94	1.118965144
95	1.116916598
96	1.115457124
97	1.113634882
98	1.11187861
99	1.109874216
100	1.107453028
101	1.105835054
102	1.104067437
103	1.102648702
104	1.100963674
105	1.098545427
106	1.096816795
107	1.095350701
108	1.093509765
109	1.09151106
110	1.089610862
111	1.087800453
112	1.086450937
113	1.084782201
114	1.083266007
115	1.081506148
116	1.080095111
117	1.078543696
118	1.077058592
119	1.075678587
120	1.073939242
121	1.072520737
122	1.070925912
123	1.069365483
124	1.067699927
125	1.066159997
126	1.064832947
127	1.062995691
128	1.061705093
129	1.060167802
130	1.058209242
131	1.056602791
132	1.055125526
133	1.053872805
134	1.052252975
135	1.050774402
136	1.049173677
137	1.04782649
138	1.046192374
139	1.044884339
140	1.043631664
141	1.042432978
142	1.040718607
143	1.039565669
144	1.037862106
145	1.03654985
146	1.034957792
147	1.033496171
148	1.03189834
149	1.030487129
150	1.029652209
151	1.02806068
152	1.026652308
153	1.025151541
154	1.023841552
155	1.022729328
156	1.021106941
157	1.019965536
158	1.018683973
159	1.017018436
160	1.015501486
161	1.014177603
162	1.012920141
163	1.011201953
164	1.010213561
165	1.008904015
166	1.007722846
167	1.006515905
168	1.00529748
169	1.004116184
170	1.002925316
171	1.001697306
172	1.000563262
173	0.9995263572
174	0.9985506316
175	0.9975617107
176	0.996486653
177	0.9952679262
178	0.9942799527
179	0.9929730316
180	0.9919758335
181	0.9904084501
182	0.9895767036
183	0.988498176
184	0.9873078009
185	0.9860816395
186	0.9848354158
187	0.9839041951
188	0.982474069
189	0.9813618338
190	0.9801930771
191	0.9790145195
192	0.9783120933
193	0.9769537114
194	0.9754278889
195	0.9744176059
196	0.9734055523
197	0.972168645
198	0.9710473038
199	0.970091909
200	0.9693335952
201	0.9684438361
202	0.9673425051
203	0.9665158487
204	0.9651870001
205	0.9641375637
206	0.9631369799
207	0.9621648192
208	0.9611580973
209	0.9602059118
210	0.9588922353
211	0.9578234778
212	0.9567973621
213	0.955785623
214	0.9547820585
215	0.9534611426
216	0.9525636129
217	0.9511894455
218	0.9505181901
219	0.9496496648
220	0.9487342918
221	0.9477133823
222	0.9466265637
223	0.9458323232
224	0.9449749769
225	0.9439364958
226	0.9430926732
227	0.9422767927
228	0.94140937
229	0.9403514761
230	0.9394838377
231	0.938343832
232	0.9372808764
233	0.9363144171
234	0.9353261723
235	0.934124381
236	0.9329957006
237	0.9321015965
238	0.9312797704
239	0.9303345474
240	0.9292328774
241	0.9285001802
242	0.927834165
243	0.9272332251
244	0.9264002045
245	0.9253866671
246	0.9245968056
247	0.9236817313
248	0.9227819272
249	0.9219230738
250	0.9208926789
251	0.9195332275
252	0.9187387346
253	0.9174207831
254	0.9167588123
255	0.915945618
256	0.9150541898
257	0.9141734191
258	0.9134046589
259	0.9121939177
260	0.9115751253
261	0.9108458311
262	0.9097649048
263	0.9090101804
264	0.9082246064
265	0.9075666546
266	0.9064806693
267	0.9058246764
268	0.9053571113
269	0.9045941648
270	0.9035846594
271	0.9027978209
272	0.9018893202
273	0.9010398834
274	0.9003285098
275	0.8993700278
276	0.8985537317
277	0.8979911435
278	0.8967184204
279	0.8959843184
280	0.895371688
281	0.8948485338
282	0.8938931884
283	0.8931036316
284	0.8921955191
285	0.8911738858
286	0.8901805698
287	0.8891441607
288	0.8882865737
289	0.8871931014
290	0.8863803983
291	0.8856167277
292	0.8845012174
293	0.8837351463
294	0.8827280461
295	0.8818786692
296	0.8812605139
297	0.8804325336
298	0.8794403038
299	0.8787686331
300	0.8778464065
301	0.8768305443
302	0.8758080335
303	0.8749471944
304	0.8742983082
305	0.8735126547
306	0.8726623683
307	0.871861576
308	0.8711393124
309	0.8703550918
310	0.8693503635
311	0.8684476857
312	0.867900465
